Pool,Ryl34F,SBI23M,Str5F,,
Archon Angel,Ryl34F,Jan 07,Day 1,18:00,18:45
Exodus,Ryl34F,Jan 07,Day 1,19:30,20:30
Devin Townsend,Ryl34F,Jan 07,Day 1,21:15,22:15
Emperor,Ryl34F,Jan 07,Day 1,23:15,00:30
Soilwork,Ryl34F,Jan 08,Day 1,01:15,02:15
Cruachan,Ryl34F,Jan 08,Day 1,03:00,03:45
Wilderun,Ryl34F,Jan 08,Day 1,04:30,05:15
VIO-LENCE,SBI23M,Jan 07,Day 1,17:15,18:00
EINHERJER,SBI23M,Jan 07,Day 1,18:45,19:30
SORTILÈGE,SBI23M,Jan 07,Day 1,20:30,21:15
AT THE GATES,SBI23M,Jan 07,Day 1,22:15,23:15
BRUJERIA,SBI23M,Jan 08,Day 1,00:15,01:15
MOONSORROW,SBI23M,Jan 08,Day 1,02:15,03:00
SEVEN WITCHES PTTOS set,SBI23M,Jan 08,Day 1,03:45,04:30
NO RAZA,SBI23M,Jan 08,Day 1,05:15,06:00
NOVEMBERS DOOM,Str5F,Jan 07,Day 1,17:15,18:00
EDENBRIDGE,Str5F,Jan 07,Day 1,18:45,19:30
KAMPFAR,Str5F,Jan 07,Day 1,20:15,21:00
KISSIN’ DYNAMITE,Str5F,Jan 07,Day 1,21:45,22:30
AXXIS,Str5F,Jan 07,Day 1,23:15,00:00
ROSS THE BOSS,Str5F,Jan 08,Day 1,00:45,01:30
ATHEIST,Str5F,Jan 08,Day 1,02:15,03:00
EREB ALTOR,Str5F,Jan 08,Day 1,03:45,04:30
TROLLFEST,Pool,Jan 08,Day 2,10:00,10:45
POSSESSED,Pool,Jan 08,Day 2,11:30,12:15
LEAVES’ EYES,Pool,Jan 08,Day 2,13:00,13:45
SUFFOCATION,Pool,Jan 08,Day 2,14:30,15:15
HAGGARD,Pool,Jan 08,Day 2,16:00,17:00
GRAVE DIGGER,Pool,Jan 08,Day 2,18:00,19:00
CANDLEMASS,Pool,Jan 08,Day 2,20:00,21:00
VENOM,Pool,Jan 08,Day 2,22:00,23:15
WINTERSUN,Pool,Jan 09,Day 2,00:15,01:15
OMNIUM GATHERUM,Pool,Jan 09,Day 2,02:00,02:45
ABORTED TV set,Pool,Jan 09,Day 2,03:30,04:15
STRIKER,Pool,Jan 09,Day 2,05:00,05:45
DARK MATTER,Ryl34F,Jan 08,Day 2,10:45,11:30
BLOODBOUND,Ryl34F,Jan 08,Day 2,12:15,13:00
SOEN,Ryl34F,Jan 08,Day 2,13:45,14:30
WHIPLASH,Ryl34F,Jan 08,Day 2,15:15,16:00
FINNTROLL,Ryl34F,Jan 08,Day 2,17:00,18:00
IHSAHN,Ryl34F,Jan 08,Day 2,19:00,20:00
EPICA,Ryl34F,Jan 08,Day 2,21:00,22:00
MICH SCHEN,Ryl34F,Jan 08,Day 2,23:15,00:30
FLOTSAM & JETSAM,Ryl34F,Jan 09,Day 2,01:15,02:00
GHOST SHIP OCTAVIUS,Ryl34F,Jan 09,Day 2,02:45,03:30
WITHOUT WAVES,SBI23M,Jan 08,Day 2,11:30,12:15
THE AGONIST,SBI23M,Jan 08,Day 2,13:00,13:45
ORPHANED LAND,SBI23M,Jan 08,Day 2,14:30,15:15
STAM1NA,SBI23M,Jan 08,Day 2,16:15,17:00
CARACH ANGREN,SBI23M,Jan 08,Day 2,18:00,18:45
ONCE HUMAN,SBI23M,Jan 08,Day 2,20:00,20:45
TOXIK WC set,SBI23M,Jan 08,Day 2,21:45,22:30
FIRSTBOURNE,SBI23M,Jan 08,Day 2,23:30,00:15
ORIGIN pillow,SBI23M,Jan 09,Day 2,01:15,02:00
ÆTHER REALM,SBI23M,Jan 09,Day 2,02:45,03:30
INCANTATION,SBI23M,Jan 09,Day 2,04:15,05:00
THE FACELESS,Str5F,Jan 08,Day 2,17:15,18:00
